"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Engineering"
"Specialization","All"
"Peer Group","$1M - $10M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$79,000","$92,000","$111,000","$130,000","","","","","0.0032%","0.0328%","0.1536%","0.1924%","474","4,856","22,742","28,486","$4,000","$43,000","$199,000","$250,000"
"IC 2","Mid 1 (Developing)","$97,000","$120,000","$133,000","$160,000","","","","","0.0196%","0.0680%","0.1728%","0.2740%","2,902","10,068","25,584","40,568","$25,000","$88,000","$224,000","$355,000"
"IC 3","Mid 2 (Proficient)","$111,000","$135,000","$172,000","$193,000","","","","","0.0356%","0.0828%","0.1864%","0.3668%","5,271","12,259","27,598","54,307","$46,000","$107,000","$242,000","$476,000"
"IC 4","Senior 1 (Skilled)","$132,000","$148,000","$178,000","$202,000","","","","","0.0388%","0.0856%","0.2060%","0.4228%","5,745","12,674","30,500","62,599","$50,000","$111,000","$267,000","$549,000"
"IC 5","Senior 2 (Advanced)","$147,000","$175,000","$200,000","$225,000","","","","","0.0448%","0.1000%","0.2244%","0.4988%","6,633","14,806","33,224","73,851","$58,000","$130,000","$291,000","$647,000"
"IC 6","Staff (Expert)","$184,000","$218,000","$234,000","$260,000","","","","","0.0472%","0.1372%","0.4172%","0.6248%","6,988","20,313","61,770","92,506","$61,000","$178,000","$541,000","$811,000"
"IC 7","Senior Staff (Advisor)","$206,000","$227,000","$260,000","$295,000","","","","","0.0596%","0.2172%","0.8372%","1.0240%","8,824","32,158","123,954","151,611","$77,000","$282,000","$1,086,000","$1,329,000"
"IC 8","Principal (Strategist)","$214,000","$249,000","$271,000","$307,000","","","","","0.0712%","0.3228%","1.9208%","2.3692%","10,542","47,793","284,389","350,777","$92,000","$419,000","$2,492,000","$3,074,000"
"IC 9","Distinguished (Thought Leader)","$222,000","$258,000","$281,000","$323,000","","","","","0.3488%","0.8608%","1.9836%","2.5624%","51,642","127,448","293,687","379,382","$453,000","$1,117,000","$2,574,000","$3,324,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
