"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Engineering"
"Specialization","All"
"Peer Group","$10M - $25M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$83,000","$97,000","$113,000","$140,000","$92,000","$108,000","$125,000","$155,000","0.0028%","0.0184%","0.0536%","0.1040%","415","2,724","7,936","15,398","$4,000","$24,000","$70,000","$135,000"
"IC 2","Mid 1 (Developing)","$101,000","$124,000","$142,000","$159,000","$111,000","$137,000","$156,000","$176,000","0.0188%","0.0376%","0.0672%","0.1476%","2,783","5,567","9,949","21,853","$24,000","$49,000","$87,000","$191,000"
"IC 3","Mid 2 (Proficient)","$124,000","$145,000","$167,000","$200,000","$138,000","$163,000","$187,000","$224,000","0.0340%","0.0484%","0.0716%","0.2000%","5,034","7,166","10,601","29,611","$44,000","$63,000","$93,000","$259,000"
"IC 4","Senior 1 (Skilled)","$136,000","$156,000","$188,000","$208,000","$152,000","$174,000","$211,000","$233,000","0.0404%","0.0516%","0.0744%","0.2264%","5,982","7,640","11,015","33,520","$52,000","$67,000","$97,000","$294,000"
"IC 5","Senior 2 (Advanced)","$156,000","$180,000","$213,000","$247,000","$177,000","$204,000","$242,000","$280,000","0.0428%","0.0608%","0.0760%","0.2908%","6,337","9,002","11,252","43,055","$56,000","$79,000","$99,000","$377,000"
"IC 6","Staff (Expert)","$188,000","$209,000","$240,000","$294,000","$213,000","$238,000","$272,000","$333,000","0.0484%","0.0844%","0.1556%","0.3464%","7,166","12,496","23,038","51,287","$63,000","$110,000","$202,000","$449,000"
"IC 7","Senior Staff (Advisor)","$212,000","$238,000","$264,000","$300,000","$243,000","$274,000","$303,000","$344,000","0.0600%","0.1212%","0.3004%","0.4196%","8,883","17,945","44,476","62,125","$78,000","$157,000","$390,000","$544,000"
"IC 8","Principal (Strategist)","$224,000","$256,000","$274,000","$331,000","$257,000","$294,000","$314,000","$380,000","0.0700%","0.2012%","0.7768%","0.9712%","10,364","29,789","115,011","143,793","$91,000","$261,000","$1,008,000","$1,260,000"
"IC 9","Distinguished (Thought Leader)","$231,000","$264,000","$282,000","$341,000","$270,000","$308,000","$330,000","$399,000","0.2608%","0.6188%","1.1176%","1.6676%","38,613","91,618","165,469","246,900","$338,000","$803,000","$1,450,000","$2,164,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
