"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Engineering"
"Specialization","All"
"Peer Group","$100M - $200M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$89,000","$111,000","$130,000","$150,000","$98,000","$121,000","$142,000","$164,000","0.0012%","0.0052%","0.0124%","0.0280%","178","770","1,836","4,146","$2,000","$7,000","$16,000","$36,000"
"IC 2","Mid 1 (Developing)","$115,000","$128,000","$151,000","$170,000","$126,000","$140,000","$165,000","$187,000","0.0080%","0.0112%","0.0160%","0.0392%","1,184","1,658","2,369","5,804","$10,000","$15,000","$21,000","$51,000"
"IC 3","Mid 2 (Proficient)","$133,000","$162,000","$193,000","$212,000","$146,000","$178,000","$213,000","$234,000","0.0108%","0.0152%","0.0180%","0.0528%","1,599","2,250","2,665","7,817","$14,000","$20,000","$23,000","$68,000"
"IC 4","Senior 1 (Skilled)","$148,000","$175,000","$200,000","$227,000","$163,000","$193,000","$220,000","$250,000","0.0124%","0.0164%","0.0200%","0.0608%","1,836","2,428","2,961","9,002","$16,000","$21,000","$26,000","$79,000"
"IC 5","Senior 2 (Advanced)","$156,000","$183,000","$209,000","$263,000","$172,000","$203,000","$231,000","$290,000","0.0152%","0.0188%","0.0236%","0.0788%","2,250","2,783","3,494","11,667","$20,000","$24,000","$31,000","$102,000"
"IC 6","Staff (Expert)","$179,000","$216,000","$229,000","$269,000","$198,000","$239,000","$254,000","$298,000","0.0188%","0.0252%","0.0356%","0.0916%","2,783","3,731","5,271","13,562","$24,000","$33,000","$46,000","$119,000"
"IC 7","Senior Staff (Advisor)","$211,000","$222,000","$266,000","$308,000","$244,000","$258,000","$308,000","$356,000","0.0264%","0.0356%","0.0764%","0.1104%","3,909","5,271","11,312","16,346","$34,000","$46,000","$99,000","$143,000"
"IC 8","Principal (Strategist)","$221,000","$245,000","$291,000","$353,000","$256,000","$283,000","$337,000","$408,000","0.0324%","0.0560%","0.1900%","0.2380%","4,797","8,291","28,131","35,238","$42,000","$73,000","$247,000","$309,000"
"IC 9","Distinguished (Thought Leader)","$226,000","$251,000","$295,000","$357,000","$275,000","$305,000","$359,000","$435,000","0.0756%","0.1980%","0.4104%","0.6884%","11,193","29,315","60,763","101,923","$98,000","$257,000","$532,000","$893,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
