"CARTA TOTAL COMPENSATION"
"This report was generated on 3/1/2026 by Bill Liu on behalf of Seel"
"Job Area","Engineering"
"Specialization","All"
"Peer Group","$50M - $100M raised"
"Geography","San Francisco, CA, USA"
"Pay adjustment","100%"
"Benchmark effective date","2/17/2026"
""
"Level","Role","Salary","","","","Total Cash","","","","Equity (fully diluted %)","","","","Equity (number of shares)","","","","Equity (value)","","",""
"","","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile","25th Percentile","50th Percentile","75th Percentile","90th Percentile"
"IC 1","Entry","$86,000","$100,000","$123,000","$150,000","$94,000","$111,000","$136,000","$165,000","0.0020%","0.0088%","0.0192%","0.0476%","296","1,303","2,843","7,048","$3,000","$11,000","$25,000","$62,000"
"IC 2","Mid 1 (Developing)","$117,000","$133,000","$158,000","$167,000","$129,000","$147,000","$174,000","$184,000","0.0116%","0.0176%","0.0244%","0.0640%","1,717","2,606","3,613","9,476","$15,000","$23,000","$32,000","$83,000"
"IC 3","Mid 2 (Proficient)","$127,000","$165,000","$183,000","$209,000","$141,000","$183,000","$203,000","$231,000","0.0176%","0.0236%","0.0284%","0.0804%","2,606","3,494","4,205","11,904","$23,000","$31,000","$37,000","$104,000"
"IC 4","Senior 1 (Skilled)","$141,000","$170,000","$194,000","$235,000","$156,000","$188,000","$215,000","$260,000","0.0192%","0.0248%","0.0296%","0.0964%","2,843","3,672","4,382","14,273","$25,000","$32,000","$38,000","$125,000"
"IC 5","Senior 2 (Advanced)","$161,000","$179,000","$223,000","$264,000","$183,000","$202,000","$253,000","$299,000","0.0224%","0.0304%","0.0364%","0.1244%","3,316","4,501","5,389","18,418","$29,000","$39,000","$47,000","$161,000"
"IC 6","Staff (Expert)","$186,000","$208,000","$240,000","$288,000","$210,000","$235,000","$272,000","$326,000","0.0292%","0.0388%","0.0516%","0.1464%","4,323","5,745","7,640","21,676","$38,000","$50,000","$67,000","$190,000"
"IC 7","Senior Staff (Advisor)","$202,000","$251,000","$289,000","$331,000","$237,000","$295,000","$339,000","$388,000","0.0392%","0.0548%","0.1120%","0.1796%","5,804","8,114","16,582","26,591","$51,000","$71,000","$145,000","$233,000"
"IC 8","Principal (Strategist)","$220,000","$254,000","$293,000","$344,000","$258,000","$298,000","$343,000","$403,000","0.0476%","0.0848%","0.2776%","0.3364%","7,048","12,555","41,101","49,806","$62,000","$110,000","$360,000","$436,000"
"IC 9","Distinguished (Thought Leader)","$227,000","$263,000","$303,000","$355,000","$286,000","$331,000","$382,000","$447,000","0.1248%","0.3148%","0.6324%","0.9348%","18,478","46,608","93,631","138,404","$162,000","$408,000","$820,000","$1,213,000"
""
""
""
""
"This report has been prepared for the exclusive use of Seel and may not be distributed to any third party."
